time,theta
0.0000,100.0000
0.1010,102.3411
0.2020,104.7127
0.3030,107.1146
0.4040,109.5465
0.5051,112.0085
0.6061,114.5002
0.7071,117.0214
0.8081,119.5719
0.9091,122.1516
1.0101,124.7602
1.1111,127.3974
1.2121,130.0631
1.3131,132.7568
1.4141,135.4785
1.5152,138.2277
1.6162,141.0043
1.7172,143.8079
1.8182,146.6382
1.9192,149.4949
2.0202,152.3778
2.1212,155.2864
2.2222,158.2204
2.3232,161.1796
2.4242,164.1636
2.5253,167.1719
2.6263,170.2044
2.7273,173.2605
2.8283,176.3400
2.9293,179.4424
3.0303,182.5674
3.1313,185.7146
3.2323,188.8836
3.3333,192.0740
3.4343,195.2855
3.5354,198.5175
3.6364,201.7698
3.7374,205.0418
3.8384,208.3332
3.9394,211.6436
4.0404,214.9725
4.1414,218.3195
4.2424,221.6842
4.3434,225.0662
4.4444,228.4650
4.5455,231.8802
4.6465,235.3113
4.7475,238.7580
4.8485,242.2197
4.9495,245.6961
5.0505,249.1867
5.1515,252.6911
5.2525,256.2088
5.3535,259.7393
5.4545,263.2823
5.5556,266.8373
5.6566,270.4039
5.7576,273.9815
5.8586,277.5698
5.9596,281.1684
6.0606,284.7767
6.1616,288.3944
6.2626,292.0209
6.3636,295.6560
6.4646,299.2991
6.5657,302.9497
6.6667,306.6076
6.7677,310.2722
6.8687,313.9431
6.9697,317.6198
7.0707,321.3021
7.1717,324.9893
7.2727,328.6812
7.3737,332.3773
7.4747,336.0772
7.5758,339.7805
7.6768,343.4868
7.7778,347.1956
7.8788,350.9066
7.9798,354.6193
8.0808,358.3334
8.1818,362.0486
8.2828,365.7643
8.3838,369.4802
8.4848,373.1960
8.5859,376.9112
8.6869,380.6256
8.7879,384.3386
8.8889,388.0500
8.9899,391.7594
9.0909,395.4665
9.1919,399.1708
9.2929,402.8721
9.3939,406.5700
9.4949,410.2642
9.5960,413.9543
9.6970,417.6400
9.7980,421.3210
9.8990,424.9969
10.0000,428.6675
